Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1018000  Y 1055500
X 1023000  Y 1066500
X 1031000  Y 1057500
X 1047000  Y 1048500
X 1047000  Y 1066500
X 1069000  Y 1033500
X 1084000  Y 1037500
X 1116000  Y 1043500
X 1123000  Y 1062500
X 1140000  Y 1045500
X 1157000  Y 1024500
X 1159000  Y 1063500
X 1161500  Y 1050500
X 1162000  Y 1020500
X 1170000  Y 1064500
X 1175000  Y 1057500
X 1178000  Y 1050500
X 1197000  Y 1056500
X 1197000  Y 1066500
X 1197000  Y 1043500
X 1198000  Y 1048000
X 1198000  Y 1073500
X 1187000  Y 1075500
X 1186000  Y 1081500
X 1181000  Y 1081500
X 1177000  Y 1088500
X 1166000  Y 1081500
X 1146500  Y 1094000
X 1130000  Y 1083500
X 1104000  Y 1094500
X 1091000  Y 1092500
X 1062000  Y 1075500
X 1053000  Y 1087500
X 1020000  Y 1092500
X 1062000  Y 1097500
X 1069000  Y 1108500
X 1073000  Y 1112500
X 1081000  Y 1104500
X 1089000  Y 1098500
X 1091000  Y 1117500
X 1099000  Y 1108500
X 1136000  Y 1115500
X 1151000  Y 1097000
X 1155000  Y 1101000
X 1160000  Y 1101500
X 1179500  Y 1109500
X 1202000  Y 1115500
X 1204000  Y 1134500
X 1182000  Y 1127500
X 1136000  Y 1125500
X 1112000  Y 1123500
X 1100000  Y 1123500
X 1093000  Y 1132500
X 1087000  Y 1129500
X 1080000  Y 1129500
X 1068000  Y 1128500
X 1055000  Y 1125500
X 1023000  Y 1131000
X 1035000  Y 1164500
X 1049000  Y 1164500
X 1062000  Y 1151500
X 1087000  Y 1151500
X 1099000  Y 1164500
X 1115000  Y 1152500
X 1133000  Y 1152500
X 1154000  Y 1165500
X 1171000  Y 1148500
X 1171000  Y 1158000
X 1188000  Y 1170500
X 1172000  Y 1187500
X 1149500  Y 1194500
X 1144000  Y 1190500
X 1100000  Y 1174500

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 1022000  Y 1023000
X 1032000  Y 1023000
X 1050000  Y 1025500
X 1050000  Y 1035500
X 1064000  Y 1023500
X 1064000  Y 1033500
X 1064000  Y 1043500
X 1078500  Y 1024500
X 1088500  Y 1024500
X 1098500  Y 1024500
X 1109500  Y 1024500
X 1119500  Y 1024500
X 1129500  Y 1024500
X 1139500  Y 1024500
X 1149500  Y 1024500
X 1158500  Y 1088000
X 1158500  Y 1078000
X 1124500  Y 1138500
X 1114500  Y 1138500
X 1104500  Y 1138500
X 1094500  Y 1138500
X 1023000  Y 1183000
X 1023000  Y 1193000
X 1033000  Y 1183000
X 1033000  Y 1193000
X 1043000  Y 1183000
X 1043000  Y 1193000
X 1053000  Y 1183000
X 1053000  Y 1193000
X 1063000  Y 1183000
X 1063000  Y 1193000
X 1073000  Y 1183000
X 1073000  Y 1193000
X 1083000  Y 1183000
X 1083000  Y 1193000
X 1093000  Y 1193000
X 1093000  Y 1183000
X 1094500  Y 1168500
X 1103000  Y 1193000
X 1103000  Y 1183000
X 1104500  Y 1168500
X 1113000  Y 1183000
X 1113000  Y 1193000
X 1114500  Y 1168500
X 1124500  Y 1168500
X 1199500  Y 1160500
X 1199500  Y 1170500

Drill: .039  Tool: 3  Feed: 197  Speed: 550
X 1161500  Y 1116100
X 1161500  Y 1126000
X 1193000  Y 1186000
X 1193000  Y 1195900

Drill: .04331  Tool: 4  Feed: 139  Speed: 550
X 1036000  Y 1102500
X 1036000  Y 1122185

End of Listing
